,Panel,Static
380,PRUDENTIAL FINANCIAL,"PRUDENTIAL FINANCIAL, INCORPORATED"
381,PTC,PTC INC
382,PUBLIC STORAGE,PUBLIC SERVICE ENTERPRISE GROUP INC.
383,PUBLIC SVC ENTRPR GR,PUBLIC STORAGE
384,PULTEGROUP,"PULTEGROUP, INCORPORATION"
385,QUALCOMM,QUALCOMM INCORPORATED
386,QUANTA SERVICES,QUANTA SERVICES INCORPORATED
387,QUEST DIAGNOSTICS,QUEST DIAGNOSTICS INCORPORATED
388,RALPH LAUREN,RALPH LAUREN CORPORATION
389,RAYMOND JAMES FINL.,"RAYMOND JAMES FINANCIAL, INC."
390,REALTY INCOME,REALTY INCOME CORPORATION
391,REGENCY CENTERS,REGENCY CENTERS CORPORATION
392,REGENERON PHARMA,REGENERON PHARMACEUTICALS INCORPORATED
393,REGIONS FINANCIAL,REGIONS FINANCIAL CORP
394,REPUBLIC SERVICES,"REPUBLIC SERVICES, INC."
395,RESMED,RESMED INC.
396,REVVITY,REVVITY INC
397,ROCKWELL AUTOMATION,"ROCKWELL AUTOMATION, INC."
398,ROLLINS,"ROLLINS, INC."
399,ROPER TECHNOLOGIES,ROPER TECHNOLOGIES INC
400,ROSS STORES,ROSS STORES INCORPORATED
401,ROYAL CARIBBEAN,ROYAL CARIBBEAN CRUISES LTD.
402,RTX,RTX CORP
403,S&P GLOBAL,S&P GLOBAL INC
404,SALESFORCE,SALESFORCE INC
405,SBA COMMS.,SBA COMMUNICATIONS CORPORATION
406,SCHLUMBERGER,SCHLUMBERGER NV
407,SEAGATE TECHNOLOGY,SEAGATE TECHNOLOGY HOLDINGS PLC
408,SEMPRA,SEMPRA
409,SERVICENOW,SERVICENOW INC
410,SHERWIN-WILLIAMS,SHERWIN-WILLIAMS CO
411,SIMON PROPERTY GROUP,"SIMON PROPERTY GROUP, INC."
412,SKYWORKS SOLUTIONS,"SKYWORKS SOLUTIONS, INC."
413,SMURFIT WESTROCK,SMURFIT WESTROCK PLC
414,SNAP-ON,SNAP-ON INCORPORATED
415,SOLVENTUM,SOLVENTUM CORP
416,SOUTHERN,SOUTHERN CO
417,SOUTHWEST AIRLINES,SOUTHWEST AIRLINES CO.
418,STANLEY BLACK & DECKER,STANLEY BLACK & DECKER INCORPORATED
419,STARBUCKS,STARBUCKS CORPORATION
420,STATE STREET,STATE STREET CORP
421,STEEL DYNAMICS,STEEL DYNAMICS INC
422,STERIS,STERIS PLC
423,STRYKER,STRYKER CORPORATION
424,SUPER MICRO COMPUTER,SUPER MICRO COMPUTER INC
425,SYNCHRONY FINANCIAL,SYNCHRONY FINANCIAL
426,SYNOPSYS,"SYNOPSYS, INC."
427,SYSCO,SYSCO CORPORATION
428,T ROWE PRICE,T ROWE PRICE GROUP INC
429,T-MOBILE US,T-MOBILE US INC
430,TAKE TWO,TAKE-TWO INTERACTIVE SOFTWARE INC
431,TAPESTRY,TAPESTRY INC
432,TARGA RESOURCES,TARGA RESOURCES CORP
433,TARGET,TARGET CORPORATION
434,TE CONNECTIVITY,TE CONNECTIVITY PLC
435,TELEDYNE TECH.,TELEDYNE TECHNOLOGIES INCORPORATED
436,TERADYNE INC,"TERADYNE, INC."
437,TESLA,TESLA INC
438,TEXAS INSTRUMENTS,TEXAS INSTRUMENTS INCORPORATED
439,TEXAS PACIFIC LAND,TEXAS PACIFIC LAND CORP
440,TEXTRON,TEXTRON INC.
441,THERMO FISHER,THERMO FISHER SCIENTIFIC INC.
442,TJX COMPANIES INC,TJX COMPANIES INC
443,TKO GROUP HOLDINGS,TKO GROUP HOLDINGS INC
444,TRACTOR SUPPLY,TRACTOR SUPPLY CO
445,TRANE TECHNOLOGIES,TRANE TECHNOLOGIES PLC
446,TRANSDIGM GROUP,TRANSDIGM GROUP INCORPORATED
447,TRAVELERS COS,TRAVELERS COMPANIES INC
448,TRIMBLE,TRIMBLE INC
449,TRUIST FINANCIAL,TRUIST FINANCIAL CORP
450,TYLER TECHNOLOGIES,"TYLER TECHNOLOGIES, INC."
451,TYSON FOODS,"TYSON FOODS, INC."
452,UBER TECHNOLOGIES,UBER TECHNOLOGIES INC
453,UDR,UDR INCORPORATION
454,ULTA BEAUTY,ULTA BEAUTY INC
455,UNION PACIFIC,UNION PACIFIC CORPORATION
456,UNITED AIRLINES HOLDINGS,UNITED AIRLINES HOLDINGS INC
457,UNITED PARCEL SVCS,"UNITED PARCEL SERVICE, INC."
458,UNITED RENTALS,UNITED RENTALS INC
459,UNITEDHEALTH GROUP,UNITEDHEALTH GROUP INC
460,UNIVERSAL HEALTH SVC,"UNIVERSAL HEALTH SERVICES, INC."
461,US BANCORP,US BANCORP
462,VALERO ENERGY,VALERO ENERGY CORP
463,VENTAS,VENTAS INC
464,VERALTO,VERALTO CORP
465,VERISIGN,"VERISIGN, INC"
466,VERISK ANALYTICS,VERISK ANALYTICS INCORPORATION
467,VERIZON COMMUNICATIONS,VERIZON COMMUNICATIONS
468,VERTEX PHARMS.,VERTEX PHARMACEUTICALS INC
469,VIATRIS,VIATRIS INC
470,VICI PROPERTIES,VICI PROPERTIES INC
471,VISA,VISA INCORPORATION
472,VISTRA,VISTRA CORP
473,VULCAN MATERIALS,VULCAN MATERIALS CO
474,W R BERKLEY,W R BERKLEY CORP
475,WABTEC,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP
476,WALGREENS BOOTS,WALGREENS BOOTS ALLIANCE INC
477,WALMART,WALMART INC
478,WALT DISNEY,WALT DISNEY CO
479,WARNER BROS,WARNER BROS DISCOVERY INC
480,WASTE MANAGEMENT,"WASTE MANAGEMENT, INC."
481,WATERS,WATERS CORP
482,WEC ENERGY GROUP,WEC ENERGY GROUP INC
483,WELLS FARGO & CO,WELLS FARGO & COMPANY
484,WELLTOWER,WELLTOWER INC
